,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
117,30117,도곡,9105,17581,8644,7359,12320,8213,37.490858,127.055381,13343.0,8001.5,10266.5,23609.5,31611.0,0.7468760874379172,0,0,1
118,30118,도농,35499,8980,12607,9261,8207,22868,37.608806,127.161153,22239.5,10934.0,15537.5,37777.0,48711.0,0.775533247110509,1,0,0
119,30119,도림천,2609,3944,1976,1477,1995,1970,37.514287,126.882768,3276.5,1726.5,1982.5,5259.0,6985.5,0.7528451792999785,1,0,0
120,30120,도봉,16995,7149,9494,8397,6131,12414,37.679563,127.045595,12072.0,8945.5,9272.5,21344.5,30290.0,0.7046715087487619,0,0,1
121,30121,도봉산,28059,9701,13961,12380,8549,17287,37.689313,127.046222,18880.0,13170.5,12918.0,31798.0,44968.5,0.7071172042652079,0,0,1
122,30122,도심,9382,2922,3220,2245,2233,4731,37.579622,127.222672,6152.0,2732.5,3482.0,9634.0,12366.5,0.7790401487890672,1,0,0
123,30123,도원,5867,9685,5993,4416,4933,4974,37.468446,126.642706,7776.0,5204.5,4953.5,12729.5,17934.0,0.7097970335675253,0,0,0
124,30124,도화,12138,4793,5780,4781,4236,7861,37.46607,126.668672,8465.5,5280.5,6048.5,14514.0,19794.5,0.7332339791356185,0,0,1
125,30125,독립문,16274,16191,13631,11955,9942,12576,37.574571,126.957748,16232.5,12793.0,11259.0,27491.5,40284.5,0.6824336903771923,0,0,1
126,30126,독바위,10852,2694,3810,3499,1972,7759,37.618456,126.933031,6773.0,3654.5,4865.5,11638.5,15293.0,0.7610344602105539,1,0,1
127,30127,독산,32544,58006,17045,14331,36059,27006,37.466613,126.889249,45275.0,15688.0,31532.5,76807.5,92495.5,0.8303917487877789,1,1,1
128,30128,돌곶이,28432,10489,11663,9831,9389,19304,37.610537,127.056431,19460.5,10747.0,14346.5,33807.0,44554.0,0.7587870898235849,1,0,1
129,30129,동대문,13092,40904,30947,33679,34731,17755,37.57142,127.009745,26998.0,32313.0,26243.0,53241.0,85554.0,0.6223087173013535,0,1,1
